fqcn	textChars
star.base.neo.NeoColorEditor	7742
star.base.neo.NeoColorEditor.NeoColorInplaceEditor	13244
star.base.neo.NeoComboBox	11877
star.base.neo.NeoComboComponentPanel	10023
star.base.neo.NeoCommandHelper	2674
star.base.neo.NeoConstructorArg	3090
star.base.neo.NeoDeclaringArgument	893
star.base.neo.NeoDefaultListModel	2474
star.base.neo.NeoDefaultOptionModel	1847
star.base.neo.NeoDialog	16377
star.base.neo.NeoDocumentListener	1685
star.base.neo.NeoDoubleArg	883
star.base.neo.NeoDoubleField	13585
star.base.neo.NeoDynamicClassLoader	2195
star.base.neo.NeoEmptyApplyReset	8795
star.base.neo.NeoEnumArg	2225
star.base.neo.NeoEnumSetArg	3172
star.base.neo.NeoErrorManager	7359
star.base.neo.NeoException	4207
star.base.neo.NeoExtensionFileFilter	1270
star.base.neo.NeoExtensionFilenameFilter	2109
star.base.neo.NeoFileChooser	12368
star.base.neo.NeoFileUtils	8739
star.base.neo.NeoFileValidator	1593
star.base.neo.NeoFormattedTextField.FTFVerifier	1550
star.base.neo.NeoFormattedTextField	14451
star.base.neo.NeoFormattedTextFieldBridge	2842
star.base.neo.NeoGui	41696
star.base.neo.NeoHostInfo	1676
star.base.neo.NeoInput	1073
star.base.neo.NeoIntArg	847
star.base.neo.NeoIntegerField	12428
star.base.neo.NeoJournableArgument	1005
star.base.neo.NeoJournableArgumentListArg	2575
star.base.neo.NeoJournableArgumentVectorArg	2365
star.base.neo.NeoJournal	6465
star.base.neo.NeoJournalFile	4836
star.base.neo.NeoJournalObject	8791
star.base.neo.NeoJournalObjectArg	1375
star.base.neo.NeoJournalObjectListArg	3036
star.base.neo.NeoJournalObjectVarArgsArg	1478
star.base.neo.NeoJournalUtils	2589
star.base.neo.NeoListArg	2668
star.base.neo.NeoListDataListener	1609
star.base.neo.NeoListModel	1466
star.base.neo.NeoListSearcher	1560
star.base.neo.NeoLongArg	859
star.base.neo.NeoLongField	12165
star.base.neo.NeoMacro	609
star.base.neo.NeoMessageOutFile	2028
star.base.neo.NeoMessageOutFileAndScreen	2017
star.base.neo.NeoMessageOutScreen	1580
star.base.neo.NeoMessageProcessor	2229
star.base.neo.NeoMultiSelectList	14665
star.base.neo.NeoNamedVerticalList	14824
star.base.neo.NeoNumberField	13295
star.base.neo.NeoObjectManager	1441
star.base.neo.NeoObjectMenuItem	11623
star.base.neo.NeoObjectVector	1968
star.base.neo.NeoObservable	1340
star.base.neo.NeoObserver	1630
star.base.neo.NeoOpenFileValidator	1569
star.base.neo.NeoOperationNotifier.CompleteNotifier	1582
star.base.neo.NeoOperationNotifier.GuiReceiver	1514
star.base.neo.NeoOperationNotifier	1707
star.base.neo.NeoOperationNotifier.OnErrorNotifier	1624
star.base.neo.NeoOperationNotifier.ProgressNotifier	1633
star.base.neo.NeoOperationNotifier.Receiver	1960
star.base.neo.NeoOperationNotifier.StartNotifier	1555
star.base.neo.NeoOptionComponentBase	10895
star.base.neo.NeoOptionComponentPanel	9293
star.base.neo.NeoOptionModel	737
star.base.neo.NeoPackageProviderArg	1126
star.base.neo.NeoPackageProviderArg.Utils	1807
star.base.neo.NeoPanelCreator	592
star.base.neo.NeoPathArg	1485
star.base.neo.NeoPathVectorArg	1584
star.base.neo.NeoPlotSource	639
star.base.neo.NeoPortFinder	880
star.base.neo.NeoPrimitiveArgument	1777
star.base.neo.NeoProcessReporter	2315
star.base.neo.NeoProcessReporter.ProcessOutputObserver	671
star.base.neo.NeoProperty	10102
star.base.neo.NeoPropertyArg	1636
star.base.neo.NeoResource	3079
star.base.neo.NeoSaveFileValidator	2538
star.base.neo.NeoScript	3596
star.base.neo.NeoScriptFile	2217
star.base.neo.NeoSelector	2338
star.base.neo.NeoSelectorPanel	8465
star.base.neo.NeoServerPathArg	1441
star.base.neo.NeoSessionDescriptor	3778
star.base.neo.NeoSessionLocator	3079
star.base.neo.NeoSortedListModel	3679
star.base.neo.NeoStartupAndFinish	1301
star.base.neo.NeoState	507
star.base.neo.NeoStaticColorChooser	5571
star.base.neo.NeoStaticColorChooser.NbColorChooser	9211
star.base.neo.NeoStaticColorChooser.NbPreview	8370
star.base.neo.NeoStringArg	1428
star.base.neo.NeoStringComparator	1255
star.base.neo.NeoSubject	1449
star.base.neo.NeoSystemOut	4044
star.base.neo.NeoTestErrorManager	2654
star.base.neo.NeoTransferPanel	11257
star.base.neo.NeoTranslator	1219
star.base.neo.NeoTypeArgument	2695
star.base.neo.NumericNameComparator	1964
star.base.neo.ObjectLocalizer	969
star.base.neo.ObjectRegistry	3869
star.base.neo.OptionalCsoProvider	1027
star.base.neo.OptionalEnum	1456
star.base.neo.OptionalEnumEditor	2495
star.base.neo.OrderableNeoMultiSelectList	12070
star.base.neo.OverwriteAppendSceneFileValidator	1882
star.base.neo.PendingCreate	2125
star.base.neo.Plane	1280
star.base.neo.Platform	1216
star.base.neo.Platform.Shell32	2837
star.base.neo.PopupMenuUtils	2542
star.base.neo.ProcessWatchdog	2481
star.base.neo.ProgressPresenter	2355
star.base.neo.ProxyClientServerObject	5884
star.base.neo.Putty	3753
star.base.neo.RemoteFileBrowser	4384
star.base.neo.RemoteProcess	2428
star.base.neo.RemoteShell	10587
star.base.neo.RemoteShell.Option	1619
star.base.neo.RemoteShell.OSType	2433
star.base.neo.RemoteShellFactory	3137
star.base.neo.RemoteShellFactory.RshType	2603
star.base.neo.Renameable	958
star.base.neo.Rsh	2926
star.base.neo.ScalarRange	14956
star.base.neo.ScalarRangeFormatter	3246
star.base.neo.SecureShell	3192
star.base.neo.SerializableEnum	2115
star.base.neo.SerializableEnum.Utils	1904
star.base.neo.ServerConnection.CloseOption	2826
star.base.neo.ServerConnection	14908
star.base.neo.ServerObserver	1942
star.base.neo.ServerProcess	8391
star.base.neo.ServerShutdownMode	3621
star.base.neo.ServerShutdownObserver	2232
star.base.neo.SeverityMessage	2015
star.base.neo.SimpleTimer	1867
star.base.neo.SplitButton	21074
star.base.neo.SplitButtonActionListener	999
star.base.neo.Ssh	3987
star.base.neo.SshTunnelSettings	5219
star.base.neo.Stageable	1431
star.base.neo.StageableManager	2179
star.base.neo.StageUtils	4438
star.base.neo.StringAsNamedObject	1970
star.base.neo.StringHelper	4602
star.base.neo.StringVector	2360
star.base.neo.StringVectorArg	1375
star.base.neo.StringVectorEditor	3128
star.base.neo.SummaryReport	2256
star.base.neo.SummaryReporter	553
star.base.neo.SummaryReportFilter	911
star.base.neo.SummaryReportLocalizedVariables	4327
star.base.neo.SymmetricTensorWithUnitsField	17018
star.base.neo.SymmetricTensorWithUnitsFormatter	5947
star.base.neo.TitledSeparator	10122
star.base.neo.TryRunCatchErrorHandler	1209
star.base.neo.ui.AvatarButton	12369
star.base.neo.ui.AvatarDialog	8334
